sha256,image_path,source_project,source_dataset,original_label,unified_label,conflicting_labels,resolution
00fa13eee48425051001f47967cc5e9b02f08955277b542703731dc817899420,/backup/Intern/Devraj/home_cache/kagglehub/datasets/pacificrm/skindiseasedataset/versions/6/SkinDisease/SkinDisease/train/Candidiasis/candidiasis-large-skin-folds-171.jpeg,devraj,pacific_train,Candidiasis,candidiasis,candidiasis|tinea_corporis,kept_protected_original_8:tinea_corporis
013c5c050eed25aa20518867309bd5b213a34c353e21ffbe2d3b5346423368de,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Nail Fungus and other Nail Disease/alopecia-areata-95.jpg,dermassist,DermNet,Nail Fungus,fungal_nail_infections,alopecia_areata|fungal_nail_infections,kept_protected_original_8:alopecia_areata
01c54f9005d52ee8ba5d272c7649a7a04b6de2e34fbe0dd95b41a105e23380cf,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Acne and Rosacea Photos/minocycline-pigmentation-2.jpg,dermassist,DermNet,Acne,acne_vulgaris,acne_vulgaris|drug_eruptions,excluded_all_conflicting_labels
01c54f9005d52ee8ba5d272c7649a7a04b6de2e34fbe0dd95b41a105e23380cf,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Exanthems and Drug Eruptions/minocycline-pigmentation-2.jpg,dermassist,DermNet,Drug Eruption,drug_eruptions,acne_vulgaris|drug_eruptions,excluded_all_conflicting_labels
01c54f9005d52ee8ba5d272c7649a7a04b6de2e34fbe0dd95b41a105e23380cf,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/minocycline-pigmentation-2.jpg,dermassist,Skin_Diseases_Kaggle,Acne,acne_vulgaris,acne_vulgaris|drug_eruptions,excluded_all_conflicting_labels
022b38dc446d7553c6b2ca4939888efe87092301a9dde4497c7048d5fa2fffc0,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Nail Fungus and other Nail Disease/lichen-planus-114.jpg,dermassist,DermNet,Nail Fungus,fungal_nail_infections,fungal_nail_infections|plaque_psoriasis,kept_protected_original_8:plaque_psoriasis
02341e50ff3dad535246cf9ca494c56b2fd53173fd09f5bf784253893ad4030f,/backup/Intern/Devraj/home_cache/kagglehub/datasets/pacificrm/skindiseasedataset/versions/6/SkinDisease/SkinDisease/train/Candidiasis/candida-groin-16.jpeg,devraj,pacific_train,Candidiasis,candidiasis,candidiasis|tinea_corporis,kept_protected_original_8:tinea_corporis
02af33a445d620c7fac2be9fa51cbeed5b1257fe135eacc2255f21b7d5b53eb5,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Nail Fungus and other Nail Disease/lichen-planus-91.jpg,dermassist,DermNet,Nail Fungus,fungal_nail_infections,fungal_nail_infections|plaque_psoriasis,kept_protected_original_8:plaque_psoriasis
02ea8e3ca50202c66ef8819feb585710d2bb5a6d3eb0fcba41fc97b8e064d561,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Nail Fungus and other Nail Disease/alopecia-areata-9.jpg,dermassist,DermNet,Nail Fungus,fungal_nail_infections,alopecia_areata|fungal_nail_infections,kept_protected_original_8:alopecia_areata
030276a6c84059d3540b25c366c486aeadde0f01c4ee8a5d02aa77687629c978,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin diseases image dataset/IMG_CLASSES/3. Atopic Dermatitis - 1.25k/6_40.jpg,dermassist,Skin_Diseases_Image,Atopic Dermatitis,atopic_dermatitis,atopic_dermatitis|plaque_psoriasis,excluded_all_conflicting_labels
