source_project,source_dataset,label_field,source_label,normalized_source_label,source_path,record_or_image_count,mapped_unified_label,mapping_decision,confidence,match_type,source_reference,source_url,note
devraj,selected_900plus_final,folder_name,atopic_dermatitis,atopic dermatitis,/backup/Intern/Devraj/skin_disease_classifier/data/raw/selected_900plus_final/atopic_dermatitis,1224,atopic_dermatitis,include,high,exact_or_common_synonym,dataset_label,,
devraj,selected_900plus_final,folder_name,contact_dermatitis,contact dermatitis,/backup/Intern/Devraj/skin_disease_classifier/data/raw/selected_900plus_final/contact_dermatitis,1200,contact_dermatitis,include,high,exact_or_common_synonym,dataset_label,,
devraj,selected_900plus_final,folder_name,folliculitis,folliculitis,/backup/Intern/Devraj/skin_disease_classifier/data/raw/selected_900plus_final/folliculitis,1178,folliculitis,include,high,exact_or_common_synonym,dataset_label,,
devraj,selected_900plus_final,folder_name,melanoma,melanoma,/backup/Intern/Devraj/skin_disease_classifier/data/raw/selected_900plus_final/melanoma,1116,melanoma,include,high,exact_or_common_synonym,DermNet/ICD/SNOMED,https://dermnetnz.org/topics/melanoma,
devraj,selected_900plus_final,folder_name,plaque_psoriasis,plaque psoriasis,/backup/Intern/Devraj/skin_disease_classifier/data/raw/selected_900plus_final/plaque_psoriasis,2372,plaque_psoriasis,include,high,exact_or_common_synonym,dataset_label,,
devraj,selected_900plus_final,folder_name,seborrheic_dermatitis,seborrheic dermatitis,/backup/Intern/Devraj/skin_disease_classifier/data/raw/selected_900plus_final/seborrheic_dermatitis,1199,seborrheic_dermatitis,include,high,exact_or_common_synonym,dataset_label,,
devraj,selected_900plus_final,folder_name,tinea_corporis,tinea corporis,/backup/Intern/Devraj/skin_disease_classifier/data/raw/selected_900plus_final/tinea_corporis,1297,tinea_corporis,include,high,exact_or_common_synonym,dataset_label,,
devraj,mendeley,folder_name,32 Curated Categories of Skin Disease Images,32 curated categories of skin disease images,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/32 Curated Categories of Skin Disease Images,0,,unmapped,,,,,
devraj,mendeley,folder_name,Actinic Keratosis,actinic keratosis,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Actinic Keratosis,130,,unmapped,,,,,
devraj,mendeley,folder_name,Basal Cell Carcinoma,basal cell carcinoma,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Basal Cell Carcinoma,418,basal_cell_carcinoma,include,high,exact_or_common_synonym,DermNet/ICD/SNOMED,https://dermnetnz.org/topics/basal-cell-carcinoma,
devraj,mendeley,folder_name,Darier's Disease,darier s disease,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Darier's Disease,96,,unmapped,,,,,
devraj,mendeley,folder_name,Dermatofibroma,dermatofibroma,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Dermatofibroma,111,,unmapped,,,,,
devraj,mendeley,folder_name,Epidermolysis Bullosa Pruriginosa,epidermolysis bullosa pruriginosa,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Epidermolysis Bullosa Pruriginosa,96,,unmapped,,,,,
devraj,mendeley,folder_name,Hailey-Hailey Disease,hailey hailey disease,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Hailey-Hailey Disease,145,,unmapped,,,,,
devraj,mendeley,folder_name,Larva Migrans,larva migrans,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Larva Migrans,140,,unmapped,,,,,
devraj,mendeley,folder_name,Leprosy Borderline,leprosy borderline,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Leprosy Borderline,145,,unmapped,,,,,
devraj,mendeley,folder_name,Leprosy Lepromatous,leprosy lepromatous,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Leprosy Lepromatous,293,,unmapped,,,,,
devraj,mendeley,folder_name,Leprosy Tuberculoid,leprosy tuberculoid,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Leprosy Tuberculoid,234,,unmapped,,,,,
devraj,mendeley,folder_name,Lichen Planus,lichen planus,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Lichen Planus,132,,unmapped,,,,,
devraj,mendeley,folder_name,Lupus Erythematosus Chronicus Discoides,lupus erythematosus chronicus discoides,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Lupus Erythematosus Chronicus Discoides,115,lupus_related_skin_lesions,include,high,exact_or_common_synonym,dataset_label,,
devraj,mendeley,folder_name,Melanoma,melanoma,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Melanoma,126,melanoma,include,high,exact_or_common_synonym,DermNet/ICD/SNOMED,https://dermnetnz.org/topics/melanoma,
devraj,mendeley,folder_name,Mycosis Fungoides,mycosis fungoides,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Mycosis Fungoides,116,,unmapped,,,,,
devraj,mendeley,folder_name,Neurofibromatosis,neurofibromatosis,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Neurofibromatosis,86,,unmapped,,,,,
devraj,mendeley,folder_name,Nevus,nevus,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Nevus,373,,unmapped,,,,,
devraj,mendeley,folder_name,Normal,normal,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Normal,124,,unmapped,,,,,
devraj,mendeley,folder_name,Papilomatosis Confluentes And Reticulate,papilomatosis confluentes and reticulate,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Papilomatosis Confluentes And Reticulate,90,,unmapped,,,,,
devraj,mendeley,folder_name,Pediculosis Capitis,pediculosis capitis,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Pediculosis Capitis,82,,unmapped,,,,,
devraj,mendeley,folder_name,Pigmented Benign Keratosis,pigmented benign keratosis,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Pigmented Benign Keratosis,478,,unmapped,,,,,
