class_name,image_path,resolved_path,width,height,mean_brightness,std_brightness,blur_score,issue_type,recommended_action,details
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__dermnet__7f36aa39c8abe031.jpg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Dermnet/train/Acne and Rosacea Photos/rosacea-nose-32.jpg,470,720,145.6471,22.1757,46.7404,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__018d7ef79249a904.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/val/3. Akne/pigmentation_0_6937.jpeg,413,449,183.6296,25.4652,32.6495,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__0192135e38a70fab.jpg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/mkb737oqpro51.jpg,3088,2320,91.1448,54.0312,42.1042,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__029361302ace2520.jpg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/test/3. Akne/31.jpg,841,724,121.1443,52.0844,24.3638,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__03320b774fd8c88b.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_8087.jpeg,480,252,189.5036,24.1562,32.4317,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__05297459b38077b1.png,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/Screen-Shot-2020-05-21-at-10.27.13-1024x594.png,1024,594,139.7830,40.0842,22.6321,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__060c137469572f5e.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/val/3. Akne/pigmentation_0_6678.jpeg,400,400,166.7740,31.8586,40.9856,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__083e40805cb1c182.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_9115.jpeg,262,193,140.1925,30.9110,20.6024,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__09cdacbb46a3cf0d.jpeg,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/pigmentation_0_7613.jpeg,400,400,161.0105,33.8902,46.2152,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
acne_vulgaris,/backup/Intern/combine_skindiseaseclassifier_devraj/data/selected_images/acne_vulgaris/dermassist__skin_diseases_kaggle__0adea5c1f0603af9.png,/backup/TeleDerm/Derma/Open_Source_Datasets/18-03-2026/Kaggle new datasets/Skin Diseases/kaggle/train/3. Akne/Acne-Before4.png,600,579,110.0424,50.7205,46.0360,slightly_blurry,keep_review_optional,Soft image. Usually kept for skin-disease training unless visually useless.
