source_project,source_dataset,source_label,source_path,reason,mapped_unified_label,mapping_decision,note
devraj,mendeley,32 Curated Categories of Skin Disease Images,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/32 Curated Categories of Skin Disease Images,not_included_by_synonym_map,,unmapped,
devraj,mendeley,Actinic Keratosis,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Actinic Keratosis,not_included_by_synonym_map,,unmapped,
devraj,mendeley,Darier's Disease,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Darier's Disease,not_included_by_synonym_map,,unmapped,
devraj,mendeley,Dermatofibroma,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Dermatofibroma,not_included_by_synonym_map,,unmapped,
devraj,mendeley,Epidermolysis Bullosa Pruriginosa,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Epidermolysis Bullosa Pruriginosa,not_included_by_synonym_map,,unmapped,
devraj,mendeley,Hailey-Hailey Disease,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Hailey-Hailey Disease,not_included_by_synonym_map,,unmapped,
devraj,mendeley,Larva Migrans,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Larva Migrans,not_included_by_synonym_map,,unmapped,
devraj,mendeley,Leprosy Borderline,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Leprosy Borderline,not_included_by_synonym_map,,unmapped,
devraj,mendeley,Leprosy Lepromatous,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Leprosy Lepromatous,not_included_by_synonym_map,,unmapped,
devraj,mendeley,Leprosy Tuberculoid,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Leprosy Tuberculoid,not_included_by_synonym_map,,unmapped,
devraj,mendeley,Lichen Planus,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Lichen Planus,not_included_by_synonym_map,,unmapped,
devraj,mendeley,Melanoma,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Melanoma,protected_original_8_devraj_source_skipped,melanoma,include,Original 8 Devraj classes are kept only from selected_900plus_final.
devraj,mendeley,Mycosis Fungoides,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Mycosis Fungoides,not_included_by_synonym_map,,unmapped,
devraj,mendeley,Neurofibromatosis,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Neurofibromatosis,not_included_by_synonym_map,,unmapped,
devraj,mendeley,Nevus,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Nevus,not_included_by_synonym_map,,unmapped,
devraj,mendeley,Normal,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Normal,not_included_by_synonym_map,,unmapped,
devraj,mendeley,Papilomatosis Confluentes And Reticulate,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Papilomatosis Confluentes And Reticulate,not_included_by_synonym_map,,unmapped,
devraj,mendeley,Pediculosis Capitis,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Pediculosis Capitis,not_included_by_synonym_map,,unmapped,
devraj,mendeley,Pigmented Benign Keratosis,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Pigmented Benign Keratosis,not_included_by_synonym_map,,unmapped,
devraj,mendeley,Pityriasis Rosea,/backup/Intern/Devraj/mendeley-skin-dataset/extracted_data/Pityriasis Rosea,not_included_by_synonym_map,,unmapped,
