split,class_name,original_count,final_count,added_by_oversampling,downsampled_removed
train,acne_vulgaris,1727,1727,0,0
train,atopic_dermatitis,1376,1727,351,0
train,basal_cell_carcinoma,4247,1727,0,2520
train,contact_dermatitis,1062,1727,665,0
train,drug_eruptions,1115,1727,612,0
train,folliculitis,825,1727,902,0
train,fungal_nail_infections,844,1727,883,0
train,lupus_related_skin_lesions,900,1727,827,0
train,melanoma,6367,1727,0,4640
train,plaque_psoriasis,2342,1727,0,615
train,seborrheic_dermatitis,839,1727,888,0
train,tinea_corporis,1353,1727,374,0
train,vitiligo,1175,1727,552,0
train,warts,1404,1727,323,0
val,acne_vulgaris,370,370,0,0
val,atopic_dermatitis,295,295,0,0
val,basal_cell_carcinoma,910,910,0,0
val,contact_dermatitis,227,227,0,0
val,drug_eruptions,239,239,0,0
val,folliculitis,177,177,0,0
val,fungal_nail_infections,180,180,0,0
val,lupus_related_skin_lesions,193,193,0,0
val,melanoma,1364,1364,0,0
val,plaque_psoriasis,502,502,0,0
val,seborrheic_dermatitis,180,180,0,0
val,tinea_corporis,290,290,0,0
val,vitiligo,251,251,0,0
val,warts,300,300,0,0
test,acne_vulgaris,370,370,0,0
test,atopic_dermatitis,294,294,0,0
test,basal_cell_carcinoma,910,910,0,0
test,contact_dermatitis,227,227,0,0
test,drug_eruptions,238,238,0,0
test,folliculitis,176,176,0,0
test,fungal_nail_infections,180,180,0,0
test,lupus_related_skin_lesions,193,193,0,0
test,melanoma,1364,1364,0,0
test,plaque_psoriasis,502,502,0,0
test,seborrheic_dermatitis,180,180,0,0
test,tinea_corporis,289,289,0,0
test,vitiligo,251,251,0,0
test,warts,300,300,0,0
